slug,task,score,correct,total,parse_failures,ci_low,ci_high
nemotron-3-nano-30b-a3b-ud-q4-k-xl,humaneval,80.49,132,164,,73.75,85.83
nemotron-3-nano-30b-a3b-ud-q4-k-xl,gsm8k,90.52,1194,1319,0,88.82,91.99
nemotron-3-nano-30b-a3b-ud-q4-k-xl,q_avg,82.22,11401,14686,,80.88,83.55
north-mini-code,mmlu,73.32,5140,7010,2,72.28,74.35
north-mini-code,arc_challenge,60.24,706,1172,0,57.41,63.0
north-mini-code,hellaswag,70.82,3556,5021,0,69.55,72.06
north-mini-code,humaneval,86.59,142,164,,80.52,90.97
north-mini-code,gsm8k,95.83,1264,1319,0,94.61,96.78
north-mini-code,q_avg,77.36,10808,14686,,76.11,78.61
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-m,mmlu,77.16,5409,7010,17,76.16,78.13
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-m,arc_challenge,92.06,1079,1172,3,90.38,93.48
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-m,hellaswag,80.26,4030,5021,0,79.14,81.34
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-m,humaneval,82.93,136,164,,76.43,87.92
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-m,gsm8k,87.26,1151,1319,0,85.36,88.95
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-m,q_avg,83.93,11805,14686,,82.65,85.21
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-xxs,mmlu,76.82,5385,7010,13,75.82,77.79
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-xxs,arc_challenge,92.15,1080,1172,1,90.47,93.56
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-xxs,hellaswag,75.68,3800,5021,0,74.48,76.85
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-xxs,humaneval,81.71,134,164,,75.09,86.88
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-xxs,gsm8k,84.91,1120,1319,0,82.88,86.74
nvidia-nemotron-3-5-lightning-30b-a3b-iq2-xxs,q_avg,82.25,11519,14686,,80.93,83.57
nvidia-nemotron-3-5-lightning-30b-a3b-iq3-xxs,mmlu,77.99,5467,7010,25,77.0,78.94
nvidia-nemotron-3-5-lightning-30b-a3b-iq3-xxs,arc_challenge,92.41,1083,1172,1,90.75,93.79
nvidia-nemotron-3-5-lightning-30b-a3b-iq3-xxs,hellaswag,81.1,4072,5021,0,79.99,82.16
nvidia-nemotron-3-5-lightning-30b-a3b-iq3-xxs,humaneval,82.32,135,164,,75.76,87.4
nvidia-nemotron-3-5-lightning-30b-a3b-iq3-xxs,gsm8k,86.35,1139,1319,0,84.39,88.1
nvidia-nemotron-3-5-lightning-30b-a3b-iq3-xxs,q_avg,84.03,11896,14686,,82.74,85.33
nvidia-nemotron-3-5-lightning-30b-a3b-iq4-xs,mmlu,77.92,5462,7010,13,76.93,78.87
nvidia-nemotron-3-5-lightning-30b-a3b-iq4-xs,arc_challenge,92.58,1085,1172,1,90.93,93.94
nvidia-nemotron-3-5-lightning-30b-a3b-iq4-xs,hellaswag,82.23,4129,5021,0,81.15,83.27
nvidia-nemotron-3-5-lightning-30b-a3b-iq4-xs,humaneval,79.88,131,164,,73.09,85.3
nvidia-nemotron-3-5-lightning-30b-a3b-iq4-xs,gsm8k,84.69,1117,1319,0,82.64,86.53
nvidia-nemotron-3-5-lightning-30b-a3b-iq4-xs,q_avg,83.46,11924,14686,,82.11,84.81
nvidia-nemotron-3-5-lightning-30b-a3b-q3-k-m,mmlu,77.1,5405,7010,25,76.11,78.07
nvidia-nemotron-3-5-lightning-30b-a3b-q3-k-m,arc_challenge,91.72,1075,1172,0,90.01,93.17
nvidia-nemotron-3-5-lightning-30b-a3b-q3-k-m,hellaswag,81.34,4084,5021,0,80.24,82.39
nvidia-nemotron-3-5-lightning-30b-a3b-q3-k-m,humaneval,79.27,130,164,,72.43,84.77
nvidia-nemotron-3-5-lightning-30b-a3b-q3-k-m,gsm8k,86.35,1139,1319,0,84.39,88.1
nvidia-nemotron-3-5-lightning-30b-a3b-q3-k-m,q_avg,83.16,11833,14686,,81.79,84.52
nvidia-nemotron-3-5-lightning-30b-a3b-q4-k-m,mmlu,77.93,5463,7010,46,76.95,78.89
nvidia-nemotron-3-5-lightning-30b-a3b-q4-k-m,arc_challenge,92.15,1080,1172,7,90.47,93.56
nvidia-nemotron-3-5-lightning-30b-a3b-q4-k-m,hellaswag,80.64,4049,5021,0,79.53,81.71
nvidia-nemotron-3-5-lightning-30b-a3b-q4-k-m,humaneval,82.32,135,164,,75.76,87.4
nvidia-nemotron-3-5-lightning-30b-a3b-q4-k-m,gsm8k,85.6,1129,1319,0,83.6,87.39
nvidia-nemotron-3-5-lightning-30b-a3b-q4-k-m,q_avg,83.73,11856,14686,,82.43,85.03
nvidia-nemotron-3-5-lightning-30b-a3b-q5-k-m,mmlu,77.96,5465,7010,21,76.97,78.91
nvidia-nemotron-3-5-lightning-30b-a3b-q5-k-m,arc_challenge,92.66,1086,1172,1,91.03,94.02
nvidia-nemotron-3-5-lightning-30b-a3b-q5-k-m,hellaswag,82.1,4122,5021,0,81.01,83.13
nvidia-nemotron-3-5-lightning-30b-a3b-q5-k-m,humaneval,81.71,134,164,,75.09,86.88
nvidia-nemotron-3-5-lightning-30b-a3b-q5-k-m,gsm8k,86.88,1146,1319,1,84.95,88.6
nvidia-nemotron-3-5-lightning-30b-a3b-q5-k-m,q_avg,84.26,11953,14686,,82.96,85.57
nvidia-nemotron-cascade-2-30b-a3b-q4-k-m,mmlu,74.42,5217,7010,1,73.39,75.43
nvidia-nemotron-cascade-2-30b-a3b-q4-k-m,arc_challenge,91.55,1073,1172,0,89.82,93.01
nvidia-nemotron-cascade-2-30b-a3b-q4-k-m,hellaswag,75.68,3800,5021,0,74.48,76.85
nvidia-nemotron-cascade-2-30b-a3b-q4-k-m,humaneval,79.27,130,164,,72.43,84.77
nvidia-nemotron-cascade-2-30b-a3b-q4-k-m,gsm8k,87.11,1149,1319,0,85.19,88.81
nvidia-nemotron-cascade-2-30b-a3b-q4-k-m,q_avg,81.61,11369,14686,,80.24,82.97
ornith-1-5-35b-q4-k-m,mmlu,82.24,5765,7010,2,81.33,83.12
ornith-1-5-35b-q4-k-m,arc_challenge,94.11,1103,1172,0,92.62,95.32
ornith-1-5-35b-q4-k-m,hellaswag,91.0,4569,5021,0,90.17,91.76
ornith-1-5-35b-q4-k-m,humaneval,87.8,144,164,,81.91,91.97
ornith-1-5-35b-q4-k-m,gsm8k,91.66,1209,1319,0,90.04,93.03
ornith-1-5-35b-q4-k-m,q_avg,89.36,12790,14686,,88.26,90.47
ornith-35b,mmlu,82.24,5765,7010,2,81.33,83.12
ornith-35b,arc_challenge,94.11,1103,1172,0,92.62,95.32
ornith-35b,hellaswag,91.0,4569,5021,0,90.17,91.76
ornith-35b,humaneval,87.8,144,164,,81.91,91.97
ornith-35b,gsm8k,91.66,1209,1319,0,90.04,93.03
ornith-35b,gpqa,52.02,103,198,0,45.09,58.87
ornith-35b,q_avg,89.36,12790,14686,,88.26,90.47
ornith-9b,mmlu,78.23,5484,7010,2,77.25,79.18
ornith-9b,arc_challenge,93.43,1095,1172,2,91.86,94.71
ornith-9b,hellaswag,86.52,4344,5021,0,85.54,87.43
ornith-9b,humaneval,73.17,120,164,,65.92,79.36
ornith-9b,gsm8k,86.2,1137,1319,0,84.24,87.96
ornith-9b,gpqa,41.92,83,198,0,35.26,48.88
ornith-9b,q_avg,83.51,12180,14686,,82.05,84.97
qwable-27b-q4-k-m,mmlu,87.1,6106,7010,0,86.3,87.87
qwable-27b-q4-k-m,arc_challenge,96.76,1134,1172,0,95.58,97.63
qwable-27b-q4-k-m,hellaswag,94.7,4755,5021,0,94.05,95.29
qwable-27b-q4-k-m,humaneval,91.46,150,164,,86.18,94.85
qwable-27b-q4-k-m,gsm8k,96.97,1279,1319,0,95.9,97.77
qwable-27b-q4-k-m,q_avg,93.4,13424,14686,,92.48,94.32
qwable-5-27b-coder,mmlu,87.92,6163,7010,0,87.13,88.66
qwable-5-27b-coder,arc_challenge,97.1,1138,1172,0,95.97,97.92
qwable-5-27b-coder,hellaswag,95.54,4797,5021,0,94.93,96.08
qwable-5-27b-coder,humaneval,90.85,149,164,,85.46,94.38
qwable-5-27b-coder,gsm8k,97.04,1280,1319,0,95.98,97.83
qwable-5-27b-coder,q_avg,93.69,13527,14686,,92.75,94.63
qwen3-6-27b-awq,mmlu,87.5,6134,7010,0,86.71,88.26
qwen3-6-27b-awq,arc_challenge,96.42,1130,1172,0,95.19,97.34
qwen3-6-27b-awq,hellaswag,95.18,4779,5021,0,94.55,95.74
qwen3-6-27b-awq,humaneval,89.02,146,164,,83.32,92.94
qwen3-6-27b-awq,gsm8k,97.27,1283,1319,0,96.24,98.02
qwen3-6-27b-awq,q_avg,93.08,13472,14686,,92.06,94.09
qwen3-6-27b-mtp-pi-tune-q6-k,mmlu,87.0,6099,7010,0,86.2,87.77
qwen3-6-27b-mtp-pi-tune-q6-k,arc_challenge,96.59,1132,1172,0,95.39,97.48
qwen3-6-27b-mtp-pi-tune-q6-k,hellaswag,94.78,4759,5021,0,94.13,95.36
qwen3-6-27b-mtp-pi-tune-q6-k,humaneval,91.46,150,164,,86.18,94.85
qwen3-6-27b-mtp-pi-tune-q6-k,gsm8k,96.66,1275,1319,0,95.55,97.51
qwen3-6-27b-mtp-pi-tune-q6-k,q_avg,93.3,13415,14686,,92.37,94.22
qwen3-6-27b-nvfp4,mmlu,87.62,6142,7010,0,86.83,88.37
qwen3-6-27b-nvfp4,arc_challenge,96.42,1130,1172,0,95.19,97.34
qwen3-6-27b-nvfp4,hellaswag,95.4,4790,5021,0,94.78,95.94
qwen3-6-27b-nvfp4,humaneval,93.29,153,164,,88.39,96.21
qwen3-6-27b-nvfp4,gsm8k,97.5,1286,1319,0,96.51,98.21
qwen3-6-27b-nvfp4,q_avg,94.05,13501,14686,,93.21,94.88
qwen3-6-27b-nvfp4-mtp,mmlu,86.96,6096,7010,0,86.15,87.73
qwen3-6-27b-nvfp4-mtp,arc_challenge,96.67,1133,1172,0,95.48,97.56
qwen3-6-27b-nvfp4-mtp,hellaswag,94.94,4767,5021,0,94.3,95.51
qwen3-6-27b-nvfp4-mtp,humaneval,90.24,148,164,,84.74,93.91
qwen3-6-27b-nvfp4-mtp,gsm8k,97.12,1281,1319,0,96.07,97.89
qwen3-6-27b-nvfp4-mtp,q_avg,93.19,13425,14686,,92.22,94.16
qwen3-6-27b-q6-k,mmlu,87.92,6163,7010,0,87.13,88.66
qwen3-6-27b-q6-k,arc_challenge,96.93,1136,1172,0,95.78,97.77
qwen3-6-27b-q6-k,hellaswag,95.44,4792,5021,0,94.83,95.98
qwen3-6-27b-q6-k,humaneval,93.29,153,164,,88.39,96.21
qwen3-6-27b-q6-k,gsm8k,97.27,1283,1319,0,96.24,98.02
qwen3-6-27b-q6-k,gpqa,54.55,108,198,0,47.59,61.33
qwen3-6-27b-q6-k,q_avg,94.17,13527,14686,,93.34,95.0
qwen3-6-28b-reap20-a3b-q6-k,mmlu,87.72,100,114,3,80.44,92.54
qwen3-6-28b-reap20-a3b-q6-k,arc_challenge,95.0,95,100,1,88.82,97.85
qwen3-6-28b-reap20-a3b-q6-k,hellaswag,82.0,82,100,4,73.33,88.3
qwen3-6-28b-reap20-a3b-q6-k,humaneval,94.0,94,100,,87.52,97.22
qwen3-6-28b-reap20-a3b-q6-k,gsm8k,90.0,90,100,0,82.56,94.48
qwen3-6-28b-reap20-a3b-q6-k,q_avg,89.74,461,514,,87.16,92.33
qwen3-6-35b-a3b-ud-q4-k-m,mmlu,84.99,5958,7010,1,84.14,85.81
qwen3-6-35b-a3b-ud-q4-k-m,arc_challenge,95.73,1122,1172,0,94.42,96.75
qwen3-6-35b-a3b-ud-q4-k-m,hellaswag,93.35,4687,5021,0,92.63,94.0
qwen3-6-35b-a3b-ud-q4-k-m,humaneval,95.73,157,164,,91.45,97.92
qwen3-6-35b-a3b-ud-q4-k-m,gsm8k,96.66,1275,1319,0,95.55,97.51
qwen3-6-35b-a3b-ud-q4-k-m,q_avg,93.29,13199,14686,,92.57,94.01
qwen3-6-35b-a3b-ud-q6-k,mmlu,94.74,108,114,0,88.99,97.57
qwen3-6-35b-a3b-ud-q6-k,arc_challenge,97.0,97,100,0,91.55,98.97
qwen3-6-35b-a3b-ud-q6-k,hellaswag,87.0,87,100,0,79.02,92.24
qwen3-6-35b-a3b-ud-q6-k,humaneval,98.0,98,100,,93.0,99.45
qwen3-6-35b-a3b-ud-q6-k,gsm8k,92.0,92,100,0,85.0,95.89
qwen3-6-35b-a3b-ud-q6-k,q_avg,93.75,482,514,,91.68,95.82
qwen3-8-27b-bf16,mmlu,85.32,5981,7010,0,84.47,86.13
qwen3-8-27b-bf16,arc_challenge,96.76,1134,1172,1,95.58,97.63
qwen3-8-27b-bf16,hellaswag,94.3,4735,5021,0,93.63,94.91
qwen3-8-27b-bf16,humaneval,93.9,154,164,,89.14,96.65
qwen3-8-27b-bf16,gsm8k,97.35,1284,1319,0,96.33,98.09
qwen3-8-27b-bf16,gpqa,48.48,96,198,0,41.62,55.41
qwen3-8-27b-bf16,q_avg,93.53,13288,14686,,92.72,94.33
qwen3-8-27b-q4-k-m,mmlu,85.01,5959,7010,0,84.15,85.82
qwen3-8-27b-q4-k-m,arc_challenge,96.76,1134,1172,1,95.58,97.63
qwen3-8-27b-q4-k-m,hellaswag,94.3,4735,5021,0,93.63,94.91
qwen3-8-27b-q4-k-m,humaneval,92.68,152,164,,87.65,95.77
qwen3-8-27b-q4-k-m,gsm8k,97.12,1281,1319,0,96.07,97.89
qwen3-8-27b-q4-k-m,gpqa,50.51,100,198,0,43.6,57.39
qwen3-8-27b-q4-k-m,q_avg,93.17,13261,14686,,92.31,94.04
qwen3-8-27b-q6-k,mmlu,85.28,5978,7010,0,84.43,86.09
qwen3-8-27b-q6-k,arc_challenge,96.67,1133,1172,3,95.48,97.56
qwen3-8-27b-q6-k,hellaswag,94.34,4737,5021,0,93.67,94.95
qwen3-8-27b-q6-k,humaneval,94.51,155,164,,89.9,97.09
qwen3-8-27b-q6-k,gsm8k,97.5,1286,1319,0,96.51,98.21
qwen3-8-27b-q6-k,gpqa,48.99,97,198,0,42.11,55.91
qwen3-8-27b-q6-k,q_avg,93.66,13289,14686,,92.89,94.43
qwen3-8-27b-q8-0,mmlu,85.18,5971,7010,0,84.33,85.99
qwen3-8-27b-q8-0,arc_challenge,96.84,1135,1172,2,95.68,97.7
qwen3-8-27b-q8-0,hellaswag,94.42,4741,5021,0,93.75,95.02
qwen3-8-27b-q8-0,humaneval,94.51,155,164,,89.9,97.09
qwen3-8-27b-q8-0,gsm8k,97.35,1284,1319,0,96.33,98.09
qwen3-8-27b-q8-0,gpqa,46.97,93,198,0,40.14,53.91
qwen3-8-27b-q8-0,q_avg,93.66,13286,14686,,92.89,94.43
qwen3-8-27b-ud-iq2-m,mmlu,83.67,5865,7010,0,82.78,84.51
qwen3-8-27b-ud-iq2-m,arc_challenge,94.88,1112,1172,17,93.47,96.0
qwen3-8-27b-ud-iq2-m,hellaswag,93.71,4705,5021,0,93.0,94.35
qwen3-8-27b-ud-iq2-m,humaneval,88.41,145,164,,82.61,92.46
qwen3-8-27b-ud-iq2-m,gsm8k,96.66,1275,1319,0,95.55,97.51
qwen3-8-27b-ud-iq2-m,gpqa,39.39,78,198,0,32.85,46.34
qwen3-8-27b-ud-iq2-m,q_avg,91.47,13102,14686,,90.41,92.52
qwen3-8-27b-ud-iq2-xxs,mmlu,82.01,5749,7010,1,81.09,82.89
qwen3-8-27b-ud-iq2-xxs,arc_challenge,95.65,1121,1172,0,94.32,96.67
qwen3-8-27b-ud-iq2-xxs,hellaswag,92.33,4636,5021,1,91.56,93.04
qwen3-8-27b-ud-iq2-xxs,humaneval,89.02,146,164,,83.32,92.94
qwen3-8-27b-ud-iq2-xxs,gsm8k,95.07,1254,1319,0,93.77,96.11
qwen3-8-27b-ud-iq2-xxs,gpqa,42.93,85,198,0,36.23,49.89
qwen3-8-27b-ud-iq2-xxs,q_avg,90.82,12906,14686,,89.78,91.85
qwen3-8-27b-ud-iq3-xxs,mmlu,84.25,5906,7010,1,83.38,85.08
qwen3-8-27b-ud-iq3-xxs,arc_challenge,96.33,1129,1172,0,95.09,97.26
qwen3-8-27b-ud-iq3-xxs,hellaswag,93.83,4711,5021,0,93.13,94.46
qwen3-8-27b-ud-iq3-xxs,humaneval,92.07,151,164,,86.91,95.31
qwen3-8-27b-ud-iq3-xxs,gsm8k,96.82,1277,1319,0,95.72,97.64
qwen3-8-27b-ud-iq3-xxs,gpqa,44.95,89,198,0,38.18,51.91
qwen3-8-27b-ud-iq3-xxs,q_avg,92.66,13174,14686,,91.76,93.56
qwen3-8-27b-ud-q4-k-xl,mmlu,85.12,5967,7010,0,84.27,85.94
qwen3-8-27b-ud-q4-k-xl,arc_challenge,96.59,1132,1172,4,95.39,97.48
qwen3-8-27b-ud-q4-k-xl,hellaswag,94.44,4742,5021,0,93.78,95.04
qwen3-8-27b-ud-q4-k-xl,humaneval,93.9,154,164,,89.14,96.65
qwen3-8-27b-ud-q4-k-xl,gsm8k,97.27,1283,1319,0,96.24,98.02
qwen3-8-27b-ud-q4-k-xl,gpqa,48.99,97,198,0,42.11,55.91
qwen3-8-27b-ud-q4-k-xl,q_avg,93.46,13278,14686,,92.66,94.27
qwen3-coder-next-ud-q2-k-xl,mmlu,83.69,5867,7010,0,82.81,84.54
qwen3-coder-next-ud-q2-k-xl,arc_challenge,95.99,1125,1172,0,94.71,96.97
qwen3-coder-next-ud-q2-k-xl,hellaswag,89.32,4485,5021,0,88.44,90.15
qwen3-coder-next-ud-q2-k-xl,humaneval,93.29,153,164,,88.39,96.21
qwen3-coder-next-ud-q2-k-xl,gsm8k,95.98,1266,1319,0,94.78,96.91
qwen3-coder-next-ud-q2-k-xl,q_avg,91.65,12896,14686,,90.79,92.51
qwopus-coder-compat,mmlu,87.86,6159,7010,0,87.07,88.6
qwopus-coder-compat,arc_challenge,96.67,1133,1172,0,95.48,97.56
qwopus-coder-compat,hellaswag,95.3,4785,5021,0,94.68,95.85
qwopus-coder-compat,humaneval,90.85,149,164,,85.46,94.38
qwopus-coder-compat,gsm8k,97.8,1290,1319,0,96.86,98.46
qwopus-coder-compat,q_avg,93.7,13516,14686,,92.76,94.64
qwopus3-6-27b-coder-mtp-q5-k-m,mmlu,87.49,6133,7010,0,86.69,88.24
qwopus3-6-27b-coder-mtp-q5-k-m,arc_challenge,96.76,1134,1172,0,95.58,97.63
qwopus3-6-27b-coder-mtp-q5-k-m,hellaswag,95.24,4782,5021,0,94.62,95.8
qwopus3-6-27b-coder-mtp-q5-k-m,humaneval,93.29,153,164,,88.39,96.21
qwopus3-6-27b-coder-mtp-q5-k-m,gsm8k,97.5,1286,1319,0,96.51,98.21
qwopus3-6-27b-coder-mtp-q5-k-m,q_avg,94.06,13488,14686,,93.22,94.89
